Id,Url,ImageUrl,Name,Symbol,CoinName,FullName,Algorithm,ProofType,FullyPremined,TotalCoinSupply,BuiltOn,SmartContractAddress,PreMinedValue,TotalCoinsFreeFloat,SortOrder,Sponsored,IsTrading,TotalCoinsMined,BlockNumber,NetHashesPerSecond,BlockReward,BlockTime
303943,/coins/abc/overview,/media/12318006/bac.png,ABC,ABC,AB-Chain,AB-Chain (ABC),N/A,N/A,0,210000000,7605,0xec491c1088eae992b7a214efb0a266ad0927a72a,N/A,N/A,1577,False,True,27855463.0297241,0.0,0,0.0,0.0
924922,/coins/abele/overview,/media/34478035/abele.png,ABELE,ABELE,Abele,Abele (ABELE),N/A,N/A,0,10000000000,7605,N/A,N/A,N/A,3176,False,False,,,,,
860230,/coins/abj/overview,/media/30002209/abj.png,ABJ,ABJ,Abjcoin,Abjcoin (ABJ),Scrypt,PoW/PoS,0,30000000,N/A,N/A,N/A,N/A,2616,False,True,9877263.76015203,469939.0,0,0.0,64.0
912961,/coins/abs/overview,/media/34155546/abs.jpg,ABS,ABS,Absolute Coin,Absolute Coin (ABS),Lyra2REv2,PoW/PoS,0,52500000,N/A,N/A,N/A,N/A,2957,False,True,10724763.9801988,345591.0,142708331407.36,0.0,90.0
758055,/coins/abt/overview,/media/27010666/abt2.png,ABT,ABT,ArcBlock,ArcBlock (ABT),N/A,N/A,1,186000000,7605,0xb98d4c97425d9908e66e53a6fdf673acca0be986,N/A,N/A,2241,False,True,186000000.0,0.0,0,0.0,0.0
926559,/coins/abx/overview,/media/34836103/abx.png,ABX,ABX,AutoBay,AutoBay (ABX),N/A,N/A,0,945000000,7605,N/A,N/A,N/A,3509,False,False,,,,,
5338,/coins/aby/overview,/media/1383379/aby.png,ABY,ABY,ArtByte,ArtByte (ABY),Scrypt,PoW,0,1000000000,N/A,N/A,N/A,N/A,306,False,True,792537250.0,0.0,0,0.0,0.0
419711,/coins/abyss/overview,/media/30002251/abyss1.png,ABYSS,ABYSS,The Abyss,The Abyss (ABYSS),N/A,N/A,0,508628132.041069469203893949,7605,0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,N/A,N/A,1911,False,True,508628132.04107,0.0,0,0.0,0.0
4322,/coins/ac/overview,/media/19593/ac.png,AC,AC,Asia Coin,Asia Coin (AC),Scrypt,PoS,0,N/A,N/A,N/A,N/A,N/A,35,False,True,2343058370.73811,0.0,0,0.0,0.0
517389,/coins/ac3/overview,/media/16746668/ac3.png,AC3,AC3,AC3,AC3 (AC3),X11,PoW,0,100000000,N/A,N/A,N/A,N/A,1974,False,True,80316207.0,358991.0,0,0.0,27.0
928555,/coins/aca/overview,/media/35309460/aca.png,ACA,ACA,ACA Token,ACA Token (ACA),N/A,N/A,0,2000000000,7605,N/A,N/A,N/A,3892,False,False,,,,,
801364,/coins/acat/overview,/media/30001613/acat.jpg,ACAT,ACAT,Alphacat,Alphacat (ACAT),N/A,N/A,0,6250000000,27368,7f86d61ff377f1b12e589a5907152b57e2ad9a7a,N/A,N/A,2435,False,True,,,,,
249821,/coins/acc/overview,/media/9350776/acc.jpg,ACC,ACC,AdCoin,AdCoin (ACC),Scrypt,PoW,0,100000000,N/A,N/A,N/A,N/A,1542,False,True,31264110.0080829,52867.0,2376328824982,0.0,300.0
716854,/coins/accstar/overview,/media/27010467/acc.png,ACC*,ACC*,Accelerator Network,Accelerator Network (ACC*),N/A,N/A,0,976603.885671768240042167,7605,0x13f1b7fdfbe1fc66676d56483e21b1ecb40b58e2,N/A,N/A,2156,False,True,979249.776250023,0.0,0,0.0,0.0
619929,/coins/acco/overview,/media/20780654/acco.png,ACCO,ACCO,Accolade,Accolade (ACCO),Scrypt,PoW/PoS,0,50000000,N/A,N/A,N/A,N/A,2028,False,False,5573908.0,306823.0,0,10.0,90.0
294364,/coins/ace/overview,/media/11999076/ace.png,ACE,ACE,TokenStars,TokenStars (ACE),N/A,N/A,0,N/A,7605,0x06147110022b768ba8f99a8f385df11a151a9cc8,N/A,N/A,1565,False,True,14476036.0,0.0,0,0.0,0.0
45617,/coins/aces/overview,/media/1382661/aces.png,ACES,ACES,AcesCoin,AcesCoin (ACES),X13,PoS,0,100000000,N/A,N/A,N/A,N/A,1104,False,True,,,,,
850785,/coins/ach/overview,/media/30002098/ach.jpg,ACH,ACH,AchieveCoin,AchieveCoin (ACH),Equihash,PoW,0,N/A,N/A,N/A,N/A,N/A,2579,False,True,3035217.08310423,59622.0,198.232327479953,0.0,600.0
39700,/coins/acid/overview,/media/1382237/acid.png,ACID,ACID,AcidCoin,AcidCoin (ACID),SHA256,PoW,0,4500000000,N/A,N/A,N/A,N/A,1016,False,True,,,,,
926174,/coins/acm/overview,/media/34835897/acm.png,ACM,ACM,Actinium,Actinium (ACM),Lyra2Z,PoW,0,84000000,N/A,N/A,N/A,N/A,3436,False,False,8478400.0,175558.0,118509746619.324,0.0,150.0
35949,/coins/acn/overview,/media/352310/acn.png,ACN,ACN,AvonCoin,AvonCoin (ACN),PoS,PoS,0,1000000000,N/A,N/A,N/A,N/A,976,False,True,,,,,
4323,/coins/acoin/overview,/media/20079/acoin.png,ACOIN,ACOIN,ACoin,ACoin (ACOIN),SHA256,PoW,0,1600000,N/A,N/A,N/A,N/A,36,False,True,0.0,0.0,0,0.0,0.0
6476,/coins/acp/overview,/media/351019/acp.png,ACP,ACP,Anarchists Prime,Anarchists Prime (ACP),SHA256,PoW,0,53760000,N/A,N/A,N/A,N/A,416,False,True,14072064.0,358496.0,0,0.0,0.0
177157,/coins/act/overview,/media/1383700/act.png,ACT,ACT,ACT,ACT (ACT),N/A,N/A,0,10000000000,7605,N/A,N/A,N/A,1293,False,True,,,,,
446372,/coins/actstar/overview,/media/16746576/act.png,ACT*,ACT*,Achain,Achain (ACT*),DPoS,DPoS,0,1000000000,N/A,N/A,N/A,N/A,1942,False,True,,,,,
808094,/coins/actn/overview,/media/30001655/actn.jpg,ACTN,ACTN,Action Coin,Action Coin (ACTN),N/A,N/A,0,10000000000,1183,N/A,N/A,N/A,2441,False,True,,,,,
321992,/coins/ada/overview,/media/12318177/ada.png,ADA,ADA,Cardano,Cardano (ADA),Ouroboros,PoS,0,45000000000,N/A,N/A,N/A,N/A,1635,False,True,25927070538.0,0.0,0,0.0,0.0
926442,/coins/adab/overview,/media/34836043/adab.png,ADAB,ADAB,Adab Solutions,Adab Solutions (ADAB),N/A,N/A,0,480000000,7605,N/A,N/A,N/A,3484,False,False,,,,,
468052,/coins/adb/overview,/media/16746619/adb.png,ADB,ADB,Adbank,Adbank (ADB),N/A,N/A,0,1000000000,7605,0x2baac9330cf9ac479d819195794d79ad0c7616e3,N/A,N/A,1959,False,True,1000000000.0,0.0,0,0.0,0.0
6108,/coins/adc/overview,/media/350880/adc.png,ADC,ADC,AudioCoin,AudioCoin (ADC),Scrypt,PoW/PoS,0,10500000000,N/A,N/A,N/A,N/A,395,False,True,951919772.42461,2431055.0,0,0.0,0.0
20907,/coins/adcn/overview,/media/350983/adcn.png,ADCN,ADCN,Asiadigicoin,Asiadigicoin (ADCN),Scrypt,PoW,0,42000000,N/A,N/A,N/A,N/A,584,False,True,24931054.0,0.0,0,0.0,180.0
866454,/coins/adh/overview,/media/30002279/adh.jpg,ADH,ADH,Adhive,Adhive (ADH),N/A,N/A,0,392000000,7605,0xe69a353b3152dd7b706ff7dd40fe1d18b7802d31,N/A,N/A,2652,False,True,109624853.618573,0.0,0,0.0,0.0
780883,/coins/adi/overview,/media/27010865/adi.jpg,ADI,ADI,Aditus,Aditus (ADI),N/A,N/A,0,750000000,7605,0x8810c63470d38639954c6b41aac545848c46484a,N/A,N/A,2347,False,True,1000000000.0,0.0,0,0.0,0.0
841767,/coins/adk/overview,/media/30001930/adk.jpg,ADK,ADK,Aidos Kuneen,Aidos Kuneen (ADK),IMesh,PoW,0,25000000,N/A,N/A,N/A,N/A,2518,False,True,10200000.0,0.0,0,0.0,0.0
127738,/coins/adl/overview,/media/1383544/adl.png,ADL,ADL,Adelphoi,Adelphoi (ADL),N/A,N/A,0,100000000,7605,0x660e71483785f66133548B10f6926dC332b06e61,N/A,N/A,1249,False,True,100000000.0,0.0,0,0.0,0.0
833028,/coins/adm/overview,/media/30001860/adm.png,ADM,ADM,Adamant,Adamant (ADM),DPoS,DPoS,0,200000000,N/A,N/A,N/A,N/A,2500,False,True,,,,,
21007,/coins/adn/overview,/media/350993/adn.png,ADN,ADN,Aiden,Aiden (ADN),ScryptOG,PoW,1,84000000,N/A,N/A,N/A,N/A,594,False,True,84000000.0,0.0,0,0.0,30.0
194530,/coins/adst/overview,/media/1383846/adst.png,ADST,ADST,Adshares,Adshares (ADST),N/A,N/A,0,12009726,7605,0x422866a8f0b032c5cf1dfbdef31a20f4509562b0,N/A,N/A,1383,False,True,19379103.0,0.0,0,0.0,0.0
188858,/coins/adt/overview,/media/1383829/adt.png,ADT,ADT,AdToken,AdToken (ADT),N/A,N/A,0,1000000000,7605,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd,N/A,N/A,1374,False,True,1000000000.0,0.0,0,0.0,0.0
170452,/coins/adx/overview,/media/1383667/adx1.png,ADX,ADX,AdEx,AdEx (ADX),N/A,N/A,0,100000000,7605,0x4470BB87d77b963A013DB939BE332f927f2b992e,N/A,N/A,1277,False,True,0.0,0.0,0,0.0,0.0
20656,/coins/adz/overview,/media/351424/adz1.jpg,ADZ,ADZ,Adzcoin,Adzcoin (ADZ),X11,PoW,0,84000000,N/A,N/A,N/A,N/A,552,False,True,45110324.0,0.0,0,0.0,60.0
190978,/coins/ae/overview,/media/1383836/ae.png,AE,AE,Aeternity,Aeternity (AE),N/A,PoW/PoS,0,273685831,N/A,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,N/A,N/A,1375,False,True,19592398.0,44078.0,9250000,416.0,179.0
20986,/coins/aec/overview,/media/350991/aec.png,AEC,AEC,AcesCoin,AcesCoin (AEC),X11,PoS,0,98000000,N/A,N/A,N/A,N/A,592,False,True,,,,,
907227,/coins/aecstar/overview,/media/34077383/aec.jpg,AEC*,AEC*,EmaratCoin,EmaratCoin (AEC*),Scrypt,PoW/PoS,0,84000000,N/A,N/A,N/A,N/A,2873,False,True,21573389.6728,330054.0,0,0.0,0.0
924988,/coins/aen/overview,/media/34478067/aen.png,AEN,AEN,Aenco,Aenco (AEN),N/A,N/A,0,4000000000,7605,N/A,N/A,N/A,3193,False,True,,,,,
927464,/coins/aent/overview,/media/35284458/aen.png,AENT,AENT,AEN,AEN (AENT),N/A,N/A,0,100000000,7605,N/A,N/A,N/A,3706,False,False,,,,,
20730,/coins/aeon/overview,/media/350955/aeon.png,AEON,AEON,AEON,AEON (AEON),CryptoNight-Lite,PoW,0,18400000,N/A,N/A,N/A,N/A,567,False,True,0.0,0.0,0,0.0,240.0
927509,/coins/aer/overview,/media/35307346/aeryus.png,AER,AER,Aeryus,Aeryus (AER),N/A,N/A,0,4166666663,7605,0xac4d22e40bf0b8ef4750a99ed4e935b99a42685e,N/A,N/A,3720,False,False,4166666663.0,0.0,0,0.0,0.0
928382,/coins/aergo/overview,/media/35309360/aergo.jpg,AERGO,AERGO,AERGO ,AERGO  (AERGO),N/A,N/A,0,500000000,7605,0xae31b85bfe62747d0836b82608b4830361a3d37a,N/A,N/A,3841,False,True,500000000.0,0.0,0,0.0,0.0
411647,/coins/aerm/overview,/media/16404893/aerm.png,AERM,AERM,Aerium,Aerium (AERM),N/A,PoW/PoS,0,500000000,N/A,N/A,N/A,N/A,1899,False,True,164348058.146847,283415.0,0,1.72022715210915,60.0
4324,/coins/aero/overview,/media/19594/aero.png,AERO,AERO,Aero Coin,Aero Coin (AERO),X13,PoS,0,7000000,N/A,N/A,N/A,N/A,37,False,True,0.0,0.0,0,0.0,0.0
843275,/coins/aet/overview,/media/30001955/aet.jpg,AET,AET,AfterEther,AfterEther (AET),Ethash,PoW,0,200000000,N/A,N/A,N/A,N/A,2524,False,False,,,,,
929169,/coins/afo/overview,/media/35520999/afo.png,AFO,AFO,AllForOneBusiness,AllForOneBusiness (AFO),N/A,N/A,0,200000000,7605,0x0f600241559b45f0545fc3e8de04d9ef9dfe6f4d,N/A,N/A,4007,False,False,200000000.0,0.0,0,0.0,0.0
710156,/coins/agi/overview,/media/25792653/agi.png,AGI,AGI,SingularityNET,SingularityNET (AGI),N/A,N/A,0,1000000000,7605,0x8eb24319393716668d768dcec29356ae9cffe285,N/A,N/A,2129,False,True,1000000000.0,0.0,0,0.0,0.0
927204,/coins/agm/overview,/media/35284310/agm.png,AGM,AGM,Argoneum,Argoneum (AGM),PHI1612,PoW,0,64000000,N/A,N/A,N/A,N/A,3609,False,False,5939922.93321288,163148.0,2421785917.51229,0.0,60.0
191142,/coins/agrs/overview,/media/1383839/agrs.png,AGRS,AGRS,Agoras Token,Agoras Token (AGRS),N/A,N/A,0,42000000,22441,N/A,N/A,N/A,1378,False,True,41987989.0,0.0,0,0.0,0.0
4326,/coins/ags/overview,/media/19595/ags.png,AGS,AGS,Aegis,Aegis (AGS),X13,PoS,0,0,N/A,N/A,N/A,N/A,39,False,True,,,,,
928332,/coins/agvc/overview,/media/35309336/agvc.png,AGVC,AGVC,AgaveCoin,AgaveCoin (AGVC),N/A,N/A,0,35000000000,7605,0x86d5b3b108dbc56e9e5ea7d5c56a3e32ccadac35,N/A,N/A,3832,False,False,35000000000.0,0.0,0,0.0,0.0
