Timestamp,Close,High,Low,Open,Volume_(BTC),Volume_(Currency),Weighted_Price
2014-12-31 16:00,314.8900146,321.3599854,313.5400085,318.2399902,12820.26,4073067.1,317.0074997
2015-01-01 16:00,315.2099915,316.3999939,313.0799866,314.8900146,14728.97,4673971.8,314.8949966
2015-01-02 16:00,287.1300049,315.8299866,284.8900146,315.2099915,47366.46,14209564.7,300.7649994
2015-01-03 16:00,264.7200012,289.9400024,255.8699951,287.1300049,88769.22,24255392.1,274.4150009
2015-01-04 16:00,274.8399963,278.3200073,262.8900146,264.7200012,54993.28,14995382.75,270.1925049
2015-01-05 16:00,282.269989,285.1099854,271.519989,274.8399963,21939.38,6097640.43,278.4349899
2015-01-06 16:00,291.3399963,296.0599976,280.7399902,282.269989,30666.87,8827164,287.6024933
2015-01-07 16:00,282.6900024,292.7099915,278.9899902,291.3399963,20182.8,5796312.29,286.4324951
2015-01-08 16:00,287.9700012,290.5899963,277.2799988,282.6900024,20924.65,5963203.51,284.6324997
2015-01-09 16:00,273.3500061,289.25,271.980011,287.9700012,14724.72,4147357.05,280.6375046
2015-01-10 16:00,264.769989,278.0100098,263.7600098,273.3500061,15111.35,4122751.52,269.9725037
2015-01-11 16:00,269.3299866,273.0799866,263.2999878,264.769989,25384.85,6899315.98,267.6199875
2015-01-12 16:00,221.2899933,269.1000061,217.1000061,269.3299866,95497.81,22745960.68,244.204998
2015-01-13 16:00,164.9199982,230.8600006,157.2899933,221.2899933,170682.75,32911586.21,193.5899963
2015-01-14 16:00,209.7799988,231.2599945,164.5500031,164.9199982,124666.16,25672423.81,192.6274986
2015-01-15 16:00,206.9199982,222.6300049,198.7200012,209.7799988,62321.12,13208882.23,209.5125008
2015-01-16 16:00,199.6499939,212.5899963,191.7100067,206.9199982,43131.44,8685194.65,202.7174988
2015-01-17 16:00,210.6199951,220.7299957,192.5099945,199.6499939,40367.48,8429486.11,205.8774948
2015-01-18 16:00,215.8699951,219.4799957,205.4700012,210.6199951,31578.61,6744459.25,212.8599968
2015-01-19 16:00,210.5500031,216.5700073,203.4199982,215.8699951,37484.43,7926400.72,211.6025009
2015-01-20 16:00,228.1699982,229.3200073,207.1100006,210.5500031,43184.11,9390361.66,218.7875023
2015-01-21 16:00,232.6999969,238.7799988,225.5700073,228.1699982,53706.05,12508308.9,231.3050003
2015-01-22 16:00,232.1699982,236.9700012,224.8399963,232.6999969,38166.88,8855407.23,231.6699982
2015-01-23 16:00,248.1600037,248.8800049,229.5800018,232.1699982,33239.37,8011743.34,239.6975021
2015-01-24 16:00,252.0899963,256.4299927,241.3600006,248.1600037,50188.59,12509649.52,249.5099983
2015-01-25 16:00,269.1799927,310.9100037,251.5,252.0899963,105714.48,29806496.64,270.9199982
2015-01-26 16:00,263.269989,276.8999939,247.2599945,269.1799927,50260.04,13130803.27,264.1524925
2015-01-27 16:00,236.1699982,267.6600037,228.0599976,263.269989,63771.42,15880595.92,248.7899971
2015-01-28 16:00,233.9900055,241.5099945,220.3600006,236.1699982,54485.72,12723448.2,233.0074997
2015-01-29 16:00,231.8399963,244.8300018,227.1900024,233.9900055,48226.84,11316575.19,234.4625015
2015-01-30 16:00,218.5099945,235.3600006,216.4600067,231.8399963,42154.24,9645307.86,225.5424995
2015-01-31 16:00,225.2899933,231.4400024,209.7100067,218.5099945,41163.75,9058010.18,221.2374992
2015-02-01 16:00,238.8600006,242.5099945,220.5299988,225.2899933,39015.62,8965813.6,231.7974968
2015-02-02 16:00,227.4100037,247.4799957,223.9100037,238.8600006,63078.64,15000263.95,234.4150009
2015-02-03 16:00,226.5800018,230.7100067,220.2299957,227.4100037,55242.53,12495299.13,226.232502
2015-02-04 16:00,216.5200043,229.8500061,214.3500061,226.5800018,40642.68,9055713.16,221.8250046
2015-02-05 16:00,222.9600067,226.1600037,215.6499939,216.5200043,52515.37,11628519.32,220.3225021
2015-02-06 16:00,227.6799927,231,222.3800049,222.9600067,39761.33,9046632.13,226.0050011
2015-02-07 16:00,223.6699982,230.2299957,219.5,227.6799927,29048.5,6564922.66,225.2699966
2015-02-08 16:00,220.3399963,225,215.6600037,223.6699982,91686.86,20192733.61,221.1674995
2015-02-09 16:00,219.6699982,222.1900024,214.4400024,220.3399963,86145.83,18877297.99,219.1599998
2015-02-10 16:00,218.8300018,223.5299988,217.2799988,219.6699982,71734.25,15909377.35,219.8274994
2015-02-11 16:00,221.7899933,223,217.3000031,218.8300018,50109.53,11084499.87,220.2299995
2015-02-12 16:00,236.1699982,241.5800018,220.6199951,221.7899933,112253.36,26243104.7,230.0399971
2015-02-13 16:00,258.6400146,261.25,235.3800049,236.1699982,133796.04,33313626.71,247.8600044
2015-02-14 16:00,233.2700043,264.5700073,226.5599976,258.6400146,179142.98,43921119.98,245.760006
2015-02-15 16:00,235.8300018,240.0299988,228.0099945,233.2700043,115467.55,27187677.11,234.2849998
2015-02-16 16:00,243.1999969,247.1699982,232.0299988,235.8300018,116259.51,27926884.82,239.5574989
2015-02-17 16:00,235.1999969,245.5099945,231.6999969,243.1999969,99662.48,23813015.67,238.9024963
2015-02-18 16:00,241.9199982,244.1100006,234.8699951,235.1999969,66053.23,15852470.09,239.0249977
2015-02-19 16:00,244.5200043,247.7599945,238.8300018,241.9199982,83584.59,20434846.7,243.2574997
2015-02-20 16:00,244.4100037,247.3200073,242.6499939,244.5200043,42952.95,10570761.56,244.7250023
2015-02-21 16:00,235.7299957,246.5399933,232.7200012,244.4100037,75700.07,18107359.63,239.8499985
2015-02-22 16:00,238.8200073,240.0599976,231.3300018,235.7299957,62672.06,14856549.49,236.4850006
2015-02-23 16:00,238.8899994,240.25,235.5,238.8200073,45034.29,10787951.21,238.3650017
2015-02-24 16:00,237.3300018,239.6399994,234.5899963,238.8899994,38095.34,9092357.66,237.6124992
