id,time,symbol,close,high,low,open,volumefrom,volumeto,sentiment
1182,2018-01-01 16:00,BTC,14754.12988,15306.12988,12934.16016,13444.87988,137732.17,1956783037,3.312264849
1182,2018-01-02 16:00,BTC,15156.62012,15435.00977,14579.70996,14754.08984,106543.39,1604206990,3.478799094
1182,2018-01-03 16:00,BTC,15180.08008,15408.66016,14244.66992,15156.49023,110968.82,1656714737,3.260703163
1182,2018-01-04 16:00,BTC,16954.7793,17126.94922,14832.36035,15180.08008,141960.42,2283988963,3.5814902
1182,2018-01-05 16:00,BTC,17172.30078,17252.84961,16286.57031,16954.75977,83927.99,1412703791,2.490497739
1182,2018-01-06 16:00,BTC,16228.16016,17184.81055,15791.12988,17174.5,79006.37,1309532650,3.429048843
1182,2018-01-07 16:00,BTC,14976.16992,16302.91992,13902.30957,16228.25977,142453.96,2166366561,3.304530978
1182,2018-01-08 16:00,BTC,14468.5,15390.28027,14221.5498,14976.16992,99730.65,1486802326,2.658491109
1182,2018-01-09 16:00,BTC,14919.49023,14919.49023,13450.54004,14468.08984,142303.9,2025083791,2.487539081
1182,2018-01-10 16:00,BTC,13308.05957,14979.95996,12825.9502,14920.36035,173452.27,2373494122,3.053510101
1182,2018-01-11 16:00,BTC,13841.19043,14129.08008,12851.91016,13308.05957,102068.02,1402292717,2.862703824
1182,2018-01-12 16:00,BTC,14243.12012,14595.04004,13830.28027,13841.19043,71300.93,1021352776,2.00431713
1182,2018-01-13 16:00,BTC,13638.62988,14415.66992,13031.91016,14244.12012,81536,1112590573,3.249156068
1182,2018-01-14 16:00,BTC,13631.98047,14355.82031,13416.70996,13638.62988,84089.84,1170462751,2.300470789
1182,2018-01-15 16:00,BTC,11282.49023,13648.83984,10032.69043,13634.59961,325702.79,3842651741,3.0974954
1182,2018-01-16 16:00,BTC,11162.7002,11736.2998,9205.379883,11282.49023,348631.94,3666978316,2.51402387
1182,2018-01-17 16:00,BTC,11175.51953,12018.42969,10642.33008,11162.7002,204918.02,2357251805,1.899900794
1182,2018-01-18 16:00,BTC,11521.75977,11780.49023,10867.17969,11175.51953,110885.87,1264875700,3.005440206
1182,2018-01-19 16:00,BTC,12783.94043,13031.04004,11502.11035,11521.82031,119084.84,1492721765,3.097745783
1182,2018-01-20 16:00,BTC,11549.92969,12787.34961,11101.73047,12783.54004,130427.64,1552755290,3.321132305
1182,2018-01-21 16:00,BTC,10814.51953,11913.74023,10067.75977,11549.98047,165723.08,1811992346,3.391710592
1182,2018-01-22 16:00,BTC,10858.23047,11388.51953,9980.5,10814.51953,158868.59,1710180829,3.514223004
1182,2018-01-23 16:00,BTC,11429.01953,11531.59961,10506.5498,10853.78027,115804.82,1286435482,2.416232864
1182,2018-01-24 16:00,BTC,11175.87012,11741.91992,10930.33984,11428.11035,93317.76,1061064251,4.360275837
1182,2018-01-25 16:00,BTC,11104.2002,11656.54004,10346.86035,11175.87012,142350.84,1560135332,2.215824731
1182,2018-01-26 16:00,BTC,11459.70996,11638.69043,10879.2002,11104.33984,90873.81,1031091634,2.455789544
1182,2018-01-27 16:00,BTC,11767.74023,12064.19043,11407.94043,11460.38965,87917.22,1038153170,2.229228595
1182,2018-01-28 16:00,BTC,11233.9502,11860.29004,11089.51953,11767.74023,80713.7,920836244,4.368072281
1182,2018-01-29 16:00,BTC,10107.25977,11263.7002,9871.209961,11234.32031,164072.93,1720894077,3.531013308
1182,2018-01-30 16:00,BTC,10226.86035,10377.95996,9698.129883,10107.40039,122260.49,1230902973,3.378896545
1182,2018-01-31 16:00,BTC,9114.719727,10280.83984,8726.950195,10226.86035,208918.8,1964308989,2.198232159
1182,2018-02-01 16:00,BTC,8870.820313,9147.929688,7786.200195,9114.730469,322596.22,2768759876,3.14674062
1182,2018-02-02 16:00,BTC,9251.269531,9504.370117,8194.679688,8872.870117,139226.07,1253484523,2.211372771
1182,2018-02-03 16:00,BTC,8218.049805,9400.990234,7889.830078,9251.269531,164609.06,1413207411,2.43270208
1182,2018-02-04 16:00,BTC,6937.080078,8391.290039,6627.310059,8218.049805,341828.54,2534149181,4.233479588
1182,2018-02-05 16:00,BTC,7701.25,7932.379883,5968.359863,6936.430176,495883.24,3397596514,2.020015725
1182,2018-02-06 16:00,BTC,7592.720215,8572.679688,7208.859863,7701.25,271450.37,2159765331,3.754030083
1182,2018-02-07 16:00,BTC,8260.69043,8643.94043,7590.47998,7593.779785,193040.33,1594673974,1.886470573
1182,2018-02-08 16:00,BTC,8696.830078,8743.200195,7775.359863,8259.259766,162279.68,1348072086,3.340956673
1182,2018-02-09 16:00,BTC,8569.290039,9081.490234,8176.25,8696.830078,155616.78,1348923336,2.642050995
1182,2018-02-10 16:00,BTC,8084.609863,8573.349609,7862.310059,8569.320313,123293.84,1013771946,4.50861767
1182,2018-02-11 16:00,BTC,8911.269531,8997.339844,8084.410156,8084.609863,124923.98,1085921871,3.404989611
1182,2018-02-12 16:00,BTC,8544.69043,8955.150391,8379.349609,8911.169922,98632.88,853320352.7,2.553591442
1182,2018-02-13 16:00,BTC,9485.639648,9508.219727,8542.980469,8544.69043,133702.54,1220863360,1.245519481
1182,2018-02-14 16:00,BTC,10033.75,10223.58008,9363.379883,9485.639648,168776.78,1666668488,2.967147568
1182,2018-02-15 16:00,BTC,10188.73047,10303.13965,9720.379883,10033.75,105556.67,1061827697,3.186181086
1182,2018-02-16 16:00,BTC,11097.20996,11119.4502,10074.07031,10188.73047,123660.48,1327921168,4.967059746
1182,2018-02-17 16:00,BTC,10417.23047,11288.33984,10161.00977,11097.20996,154431.22,1659704217,3.136457702
1182,2018-02-18 16:00,BTC,11182.28027,11265.95996,10336.32031,10418.12012,108244.29,1186535654,3.508380872
1182,2018-02-19 16:00,BTC,11256.42969,11802.23047,11130.9502,11182.28027,142449.23,1640343868,2.596700779
1182,2018-02-20 16:00,BTC,10481.66016,11295.58008,10256.20996,11256.78027,183274.25,1982721125,2.958024545
1182,2018-02-21 16:00,BTC,9847.959961,10941.57031,9757.19043,10481.66016,175506.26,1795951830,2.004592707
1182,2018-02-22 16:00,BTC,10175.50977,10420.66992,9604,9847.959961,139373.76,1399448203,2.588127211
1182,2018-02-23 16:00,BTC,9705.730469,10528,9396.540039,10175.50977,125269.68,1244484469,3.040890128
1182,2018-02-24 16:00,BTC,9610.110352,9873.790039,9329.44043,9705.730469,82430.45,793093192.7,2.546940837
